Ticker,Continent,Currency,Exchange,Name,Type
CBU0.PA,Europe,USD,ISE,iShares USD Government Bond 7-10 (Acc),ETF
0053.TW,Asia,TWD,TAI,YUANTA SECURITIES,ETF
P3WL.BE,Europe,EUR,BER,PRSH FIN PREF PORT,ETF
5X61.SW,Europe,EUR,EBS,COMS C BUF L IC,ETF
AMES.HM,Europe,EUR,HAM,AM SPAIN UCITS ETF,ETF
53CX.L,Europe,EUR,LSE,RBS VRN REG-S,ETF
79WR.L,Europe,SEK,LSE,BASKET/BARC 15,ETF
CAC.BR,Europe,EUR,PSX,Lyxor ETF CAC 40 (DR) D-EUR A/I,ETF
O018.L,Europe,EUR,LSE,ISHARES PLC ISHARES DJ EURO STO,ETF
EXX7.MU,Europe,EUR,MUN,ISHS NIK 225 UC,ETF
ERNE.MI,Europe,EUR,ISE,iShares Euro Ultrashort Bond,ETF
EL4J.SG,Europe,EUR,STU,DK MSCI JP LC,ETF
X018.BE,Europe,EUR,BER,COMS M RUS30 C IC,ETF
VB.MX,America,MXN,MEX,VANGRD SML-CAP ,ETF
EL4A.F,Europe,EUR,FRA,DK DAX UCTS ETF T,ETF
IQQA.MU,Europe,EUR,MUN,ISHS EUR DIVID G-CT,ETF
SRLN,America,USD,PCX,SPDR Blackstone / GSO Senior Loan ETF,ETF
16KS.L,Europe,USD,LSE,HERFY/HSBC 15 ELN,ETF
BULL-SEB-X2-H.ST,Europe,SEK,STO,SEBA/SHB CT 40,ETF
UINF,America,USD,PCX,ProShares UltraPro 10 Year TIPS/TSY Sprd,ETF
SYBJ.SG,Europe,EUR,STU,SPDR BAR EUR HG EUR,ETF
4575232.IR,Europe,EUR,ISE,POSH EUR CAS EUR-AC,ETF
82JH.L,Europe,USD,LSE,TCS/HSBC 16,ETF
LYMB.F,Europe,EUR,FRA,L U ETF E600 O&GAS;,ETF
ISLN.L,Europe,USD,LSE,iShares Physical Silver ETC,ETF
GOVT.AX,Asia,AUD,ASX,SPDR S&P;/ASX Aus Government Bond Fund,ETF
FORX,America,USD,PCX,PIMCO Foreign Currency Strategy ETF,ETF
XMCX.L,Europe,GBP,LSE,DB X-TRACKERS DB X-TRACKERS FTS,ETF
IFGL.MX,America,MXN,MEX,ISH INTL DEV RE,ETF
IUSF.DE,Europe,EUR,GER,ISHS MSCI US IS G-C,ETF
IQQT.SG,Europe,EUR,STU,ISHARES MSCI TA G-C,ETF
PWC,America,USD,PCX,PowerShares Dynamic Market ETF,ETF
DBX3.DE,Europe,EUR,GER,DBXT MSCI EM LA 1C,ETF
DX2X.BE,Europe,EUR,BER,DBXT STO E 600 1C,ETF
M9SA.DU,Europe,EUR,DUS,RBS MAR ICI C,ETF
0EYF.SG,Europe,EUR,STU,ORIGIN ENERGY 71VRN,ETF
PWV,America,USD,PCX,PowerShares Dynamic Large Cap Value ETF,ETF
EXSE.SG,Europe,EUR,STU,ISHSSTXEUSM200,ETF
DBX3.DU,Europe,EUR,DUS,DBXT MSCI EM LA 1C,ETF
PWZ,America,USD,PCX,PowerShares Calif AMT-Free Muni Bd ETF,ETF
HAD.TO,America,CAD,TOR,Horizons Active Cdn Bond ETF Comm,ETF
H4ZT.MU,Europe,EUR,MUN,HSBC MSCI INDO G-CT,ETF
11AN.L,Europe,USD,LSE,SABIC/HSBC 16,ETF
11599693.SG,Europe,USD,STU,ARCEL 20 SRN,ETF
6PSJ.DE,Europe,USD,ISE,PowerShares FTSE RAFI Asiapac ex-Jap ETF,ETF
QAG.AX,Asia,AUD,ASX,BetaShares Agriculture ETF CcyHgd(Synth),ETF
SXR1.DE,Europe,EUR,GER,ISHS CR PAC USD-AC,ETF
S71.PA,Europe,EUR,PAR,AM GR 7-10 UC ETF C,ETF
O022.L,Europe,EUR,LSE,ISHARES PLC ISHARES DJ EURO STO,ETF
TELG.L,Europe,GBP,LSE,MULTI UNITS LUXEMBOURG LYXOR ET,ETF
XCS2.DE,Europe,EUR,GER,DBX AU BOND 1C,ETF
STPS.SW,Europe,EUR,PSX,SPDR MSCI Europe MaterialsSM ETF A/I,ETF
H4ZM.MU,Europe,EUR,MUN,HSBC MSCI RUS G-CT,ETF
RTSE.AS,Europe,EUR,AMS,RBS M A TOP EUR C,ETF
IEEM.SW,Europe,USD,EBS,ISH MSCI EM MK USD,ETF
C070.BE,Europe,EUR,BER,COMS S600 INS IC,ETF
OLO,America,USD,PCX,PowerShares DB Crude Oil Long ETN,ETF
LYY3.DU,Europe,EUR,DUS,L UC ETF EMU GROWTH,ETF
LYYE.DU,Europe,EUR,DUS,L UCITS RUSS C EUR,ETF
ISF.SW,Europe,GBP,ISE,iShares FTSE 100 (Inc),ETF
HAX.TO,America,CAD,TOR,Horizons Act S&P;/TSX 60 CvrCall ETF Comm,ETF
DX2G.F,Europe,EUR,FRA,DBXT CAC40 1D,ETF
MTF.PA,Europe,EUR,PAR,L UCITS 15+Y INV GR,ETF
AFIN.F,Europe,EUR,FRA,A FI IB UCITS ETF C,ETF
SPY4.MI,Europe,USD,ISE,SPDR S&P; 400 US Mid Cap ETF,ETF
LYY3.DE,Europe,EUR,GER,L UC ETF EMU GROWTH,ETF
C053.SW,Europe,CHF,EBS,COMS ES50 D LEV IC,ETF
LYYE.DE,Europe,EUR,GER,L UCITS RUSS C EUR,ETF
PWGA.SG,Europe,EUR,STU,POWSHS GLO AGRI USD,ETF
